"Cell","Label","Area","Mean_Fluor_Dapi","Mean_Fluor_Piwi","Mean_Fluor_Red","Dapi_Pos","Piwi_Status","Red_Pos","Dapi_Red_Pos"
1,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT2",42.099,2249.166,235.177,39.956,"TRUE","Piwi_Neg","FALSE","Dapi+_Red-"
2,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT2",22.467,2014.53,192.878,41.984,"TRUE","Piwi_Neg","FALSE","Dapi+_Red-"
3,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT2",49.88,2320.338,253.538,40.546,"TRUE","Piwi_Neg","FALSE","Dapi+_Red-"
4,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT2",31.278,2564.278,210.321,41.812,"TRUE","Piwi_Neg","FALSE","Dapi+_Red-"
5,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT2",37.462,2272.944,246.451,44.063,"TRUE","Piwi_Neg","FALSE","Dapi+_Red-"
6,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT2",17.932,1675.879,225.216,43.115,"TRUE","Piwi_Neg","FALSE","Dapi+_Red-"
7,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT2",55.342,2410.097,213.641,41.334,"TRUE","Piwi_Neg","FALSE","Dapi+_Red-"
8,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT2",28.599,1743.441,229.294,60.526,"TRUE","Piwi_Neg","FALSE","Dapi+_Red-"
9,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT2",44.47,2125.934,208.286,47.852,"TRUE","Piwi_Neg","FALSE","Dapi+_Red-"
10,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT2",29.372,2606.075,255.791,39.318,"TRUE","Piwi_Neg","FALSE","Dapi+_Red-"
11,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT2",24.992,1843.816,209.8,50.181,"TRUE","Piwi_Neg","FALSE","Dapi+_Red-"
12,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT2",38.698,2337.85,291.582,45.806,"TRUE","Piwi_Neg","FALSE","Dapi+_Red-"
13,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT2",31.639,2349.539,301.888,39.562,"TRUE","Piwi_Lo","FALSE","Dapi+_Red-"
14,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT2",35.607,2383.877,243.609,50.107,"TRUE","Piwi_Neg","FALSE","Dapi+_Red-"
15,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT2",33.545,1805.555,280.151,49.972,"TRUE","Piwi_Neg","FALSE","Dapi+_Red-"
16,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT2",29.062,2515.697,332.074,37.521,"TRUE","Piwi_Lo","FALSE","Dapi+_Red-"
17,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT2",32.721,2163.784,266.591,45.058,"TRUE","Piwi_Neg","FALSE","Dapi+_Red-"
18,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT2",30.763,2423.878,212.382,48.822,"TRUE","Piwi_Neg","FALSE","Dapi+_Red-"
19,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT2",15.098,1782.949,219.43,37.352,"TRUE","Piwi_Neg","FALSE","Dapi+_Red-"
20,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT2",32.772,2053.583,301.247,31.458,"TRUE","Piwi_Lo","FALSE","Dapi+_Red-"
21,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT2",17.829,2020.133,409.497,30.864,"TRUE","Piwi_Lo","FALSE","Dapi+_Red-"
22,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT2",29.268,2464.415,277.408,38.292,"TRUE","Piwi_Neg","FALSE","Dapi+_Red-"
23,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT2",21.642,1526.395,200.455,48.774,"TRUE","Piwi_Neg","FALSE","Dapi+_Red-"
24,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT2",31.845,2430.516,207.788,37.531,"TRUE","Piwi_Neg","FALSE","Dapi+_Red-"
25,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT2",37.668,2366.914,245.101,50.632,"TRUE","Piwi_Neg","FALSE","Dapi+_Red-"
26,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT2",47.252,2375.313,232.209,50.457,"TRUE","Piwi_Neg","FALSE","Dapi+_Red-"
27,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT2",29.475,2494.166,210.392,38.093,"TRUE","Piwi_Neg","FALSE","Dapi+_Red-"
28,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT2",21.385,2661.193,273.065,37.848,"TRUE","Piwi_Neg","FALSE","Dapi+_Red-"
29,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT2",27.156,1952.359,190.789,64.586,"TRUE","Piwi_Neg","FALSE","Dapi+_Red-"
30,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT2",53.075,2234.856,240.099,58.95,"TRUE","Piwi_Neg","FALSE","Dapi+_Red-"
31,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT2",13.449,2308.992,203.184,44.667,"TRUE","Piwi_Neg","FALSE","Dapi+_Red-"
32,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT2",53.796,2334.215,258.186,50.062,"TRUE","Piwi_Neg","FALSE","Dapi+_Red-"
