"Cell","Label","Area","Mean_Fluor_Dapi","Mean_Fluor_Piwi","Mean_Fluor_Red","Dapi_Pos","Piwi_Status","Red_Pos","Dapi_Red_Pos"
39,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT1",21.797,2270.184,268.338,63.894,"TRUE","Piwi_Neg","FALSE","Dapi+_Red-"
40,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT1",23.291,2167.487,338.967,56.533,"TRUE","Piwi_Lo","FALSE","Dapi+_Red-"
41,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT1",25.455,2459.814,219.372,63.36,"TRUE","Piwi_Neg","FALSE","Dapi+_Red-"
42,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT1",31.381,2177.483,284.346,53.353,"TRUE","Piwi_Neg","FALSE","Dapi+_Red-"
43,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT1",37.771,2226.177,299.509,50.439,"TRUE","Piwi_Neg","FALSE","Dapi+_Red-"
44,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT1",20.096,2484.749,242.728,52.077,"TRUE","Piwi_Neg","FALSE","Dapi+_Red-"
45,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT1",32.669,2026.749,222.093,53.667,"TRUE","Piwi_Neg","FALSE","Dapi+_Red-"
46,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT1",24.734,2642.333,269.167,52.817,"TRUE","Piwi_Neg","FALSE","Dapi+_Red-"
47,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT1",22.982,2755.105,256.543,50.789,"TRUE","Piwi_Neg","FALSE","Dapi+_Red-"
48,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT1",36.379,2351.239,293.761,50.397,"TRUE","Piwi_Neg","FALSE","Dapi+_Red-"
49,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT1",25.661,2568.55,282.371,58.97,"TRUE","Piwi_Neg","FALSE","Dapi+_Red-"
50,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT1",22.673,2691.118,399.311,47.705,"TRUE","Piwi_Lo","FALSE","Dapi+_Red-"
51,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT1",18.19,1582.467,239.7,66.717,"TRUE","Piwi_Neg","FALSE","Dapi+_Red-"
52,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT1",34.937,2416.398,352.271,60.01,"TRUE","Piwi_Lo","FALSE","Dapi+_Red-"
53,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT1",12.212,1422.422,391.814,63.57,"TRUE","Piwi_Lo","FALSE","Dapi+_Red-"
54,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT1",37.616,2471.758,362.714,74.495,"TRUE","Piwi_Lo","FALSE","Dapi+_Red-"
55,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT1",37.307,2489.591,257.656,47.144,"TRUE","Piwi_Neg","FALSE","Dapi+_Red-"
56,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT1",38.08,2505.65,284.963,50.659,"TRUE","Piwi_Neg","FALSE","Dapi+_Red-"
57,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT1",16.695,2206.84,504.164,51.574,"TRUE","Piwi_Lo","FALSE","Dapi+_Red-"
58,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT1",27.516,2166.144,239.184,52.279,"TRUE","Piwi_Neg","FALSE","Dapi+_Red-"
59,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT1",16.335,1617.36,266.42,80,"TRUE","Piwi_Neg","FALSE","Dapi+_Red-"
60,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT1",29.114,2386.315,262.48,87.253,"TRUE","Piwi_Neg","FALSE","Dapi+_Red-"
61,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT1",32.103,2452.562,305.982,72.446,"TRUE","Piwi_Lo","FALSE","Dapi+_Red-"
62,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT1",25.558,1821.577,327.728,43.417,"TRUE","Piwi_Lo","FALSE","Dapi+_Red-"
63,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT1",44.47,2278.328,294.855,51.516,"TRUE","Piwi_Neg","FALSE","Dapi+_Red-"
64,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT1",23.137,2573.494,297.345,54.673,"TRUE","Piwi_Neg","FALSE","Dapi+_Red-"
65,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT1",24.167,2744.638,308.375,57.166,"TRUE","Piwi_Lo","FALSE","Dapi+_Red-"
66,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT1",24.889,2827.878,204.217,58.236,"TRUE","Piwi_Neg","FALSE","Dapi+_Red-"
67,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT1",20.045,1926.347,213.419,54.183,"TRUE","Piwi_Neg","FALSE","Dapi+_Red-"
68,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT1",27.774,1921.419,148.976,51.631,"TRUE","Piwi_Neg","FALSE","Dapi+_Red-"
69,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT1",25.507,2085.214,236.162,42.875,"TRUE","Piwi_Neg","FALSE","Dapi+_Red-"
70,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT1",17.468,1741.413,243.304,71.746,"TRUE","Piwi_Neg","FALSE","Dapi+_Red-"
71,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT1",39.007,2415.054,257.794,62.816,"TRUE","Piwi_Neg","FALSE","Dapi+_Red-"
72,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT1",30.505,2250.137,225.98,74.581,"TRUE","Piwi_Neg","FALSE","Dapi+_Red-"
73,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT1",21.075,2549.477,262.756,72.785,"TRUE","Piwi_Neg","FALSE","Dapi+_Red-"
74,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT1",26.177,2042.004,267.415,54.307,"TRUE","Piwi_Neg","FALSE","Dapi+_Red-"
75,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT1",18.035,2637.554,315.617,71.051,"TRUE","Piwi_Lo","FALSE","Dapi+_Red-"
76,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT1",21.848,3075.099,269.417,48.783,"TRUE","Piwi_Neg","FALSE","Dapi+_Red-"
77,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT1",33.133,1751.369,778.459,44.628,"TRUE","Piwi_Lo","FALSE","Dapi+_Red-"
78,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT1",48.386,2545.62,562.593,58.192,"TRUE","Piwi_Lo","FALSE","Dapi+_Red-"
79,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT1",47.561,2435.575,462.804,72.145,"TRUE","Piwi_Lo","FALSE","Dapi+_Red-"
80,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT1",25.404,2462.886,229.888,58.014,"TRUE","Piwi_Neg","FALSE","Dapi+_Red-"
81,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT1",22.827,2006.187,348.865,82.628,"TRUE","Piwi_Lo","FALSE","Dapi+_Red-"
82,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT1",40.966,2098.799,171.19,45.629,"TRUE","Piwi_Neg","FALSE","Dapi+_Red-"
83,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT1",35.194,2292.288,302.255,66.751,"TRUE","Piwi_Lo","FALSE","Dapi+_Red-"
84,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT1",39.471,2233.602,279.792,58.804,"TRUE","Piwi_Neg","FALSE","Dapi+_Red-"
85,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT1",25.765,2406.726,269.386,41.294,"TRUE","Piwi_Neg","FALSE","Dapi+_Red-"
86,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT1",43.49,2516.145,714.469,711.989,"TRUE","Piwi_Lo","TRUE","Dapi+_Red+"
87,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT1",16.129,1926.067,294.744,76.339,"TRUE","Piwi_Neg","FALSE","Dapi+_Red-"
88,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT1",31.33,2161.969,221.428,42.684,"TRUE","Piwi_Neg","FALSE","Dapi+_Red-"
89,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT1",98.523,2761.042,439.828,593.172,"TRUE","Piwi_Lo","TRUE","Dapi+_Red+"
90,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT1",23.446,2412.941,164.33,67.49,"TRUE","Piwi_Neg","FALSE","Dapi+_Red-"
91,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT1",59.361,2296.858,214.622,172.674,"TRUE","Piwi_Neg","FALSE","Dapi+_Red-"
92,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT1",24.322,2361.528,206.82,823.153,"TRUE","Piwi_Neg","TRUE","Dapi+_Red+"
93,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT1",16.438,977.398,281.649,38.765,"TRUE","Piwi_Neg","FALSE","Dapi+_Red-"
94,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT1",42.408,2439.591,250.107,61.937,"TRUE","Piwi_Neg","FALSE","Dapi+_Red-"
95,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT1",68.379,2760.322,328.344,685.501,"TRUE","Piwi_Lo","TRUE","Dapi+_Red+"
96,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT1",38.338,2641.524,254.655,65.305,"TRUE","Piwi_Neg","FALSE","Dapi+_Red-"
97,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT1",40.811,2378.766,280.496,57.654,"TRUE","Piwi_Neg","FALSE","Dapi+_Red-"
98,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT1",24.631,1711.402,300.075,62.504,"TRUE","Piwi_Lo","FALSE","Dapi+_Red-"
99,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT1",25.558,2225.054,606.304,47.508,"TRUE","Piwi_Lo","FALSE","Dapi+_Red-"
100,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT1",27.826,1360.596,465.352,3770.3,"TRUE","Piwi_Lo","TRUE","Dapi+_Red+"
101,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT1",25.404,2658.548,217.077,121.292,"TRUE","Piwi_Neg","FALSE","Dapi+_Red-"
102,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT1",29.629,2179.423,213.704,70.643,"TRUE","Piwi_Neg","FALSE","Dapi+_Red-"
103,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT1",34.421,2564.632,472.834,113.684,"TRUE","Piwi_Lo","FALSE","Dapi+_Red-"
104,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT1",54.569,1936.112,379.391,4115.623,"TRUE","Piwi_Lo","TRUE","Dapi+_Red+"
105,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT1",22.312,2645.891,309.54,66.432,"TRUE","Piwi_Lo","FALSE","Dapi+_Red-"
106,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT1",29.062,2037.41,154.548,73.988,"TRUE","Piwi_Neg","FALSE","Dapi+_Red-"
107,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT1",25.198,2024.004,208.935,52.532,"TRUE","Piwi_Neg","FALSE","Dapi+_Red-"
108,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT1",55.651,2650.105,333.958,76.096,"TRUE","Piwi_Lo","FALSE","Dapi+_Red-"
109,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT1",27.826,2219.102,147.394,137.478,"TRUE","Piwi_Neg","FALSE","Dapi+_Red-"
110,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT1",36.637,3149.512,447.935,2709.245,"TRUE","Piwi_Lo","TRUE","Dapi+_Red+"
111,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT1",12.418,1091.88,286.689,46.701,"TRUE","Piwi_Neg","FALSE","Dapi+_Red-"
112,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT1",35.194,2607.561,412.045,70.015,"TRUE","Piwi_Lo","FALSE","Dapi+_Red-"
113,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT1",18.396,1699.367,317.538,86.067,"TRUE","Piwi_Lo","FALSE","Dapi+_Red-"
114,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT1",36.74,2296.941,286.452,44.021,"TRUE","Piwi_Neg","FALSE","Dapi+_Red-"
